tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
54452,0.418469578027725,0.074520006775856,0.217731267213821,46909,3797,-6949,2922,1.34319770336151
54454,0.453545719385147,0.088227152824402,0.210104078054428,46909,2639,-5796,2831,1.33817863464355
54456,0.470154732465744,0.080835334956646,0.205856785178184,44227,4659,-3577,2788,1.33301818370819
54458,0.480751633644104,0.084419868886471,0.203941538929939,44227,5048,-4746,2765,1.33010721206665
54460,0.499504625797272,0.089444942772389,0.204024136066437,44227,3560,-5033,2768,1.32531213760376
54462,0.522151231765747,0.098510630428791,0.202851295471191,44227,2718,-5619,2754,1.32185482978821
54464,0.541566133499146,0.113652385771275,0.198842778801918,44227,2333,-6585,2709,1.32037079334259
54466,0.557588815689087,0.121016301214695,0.196257308125496,42217,5486,-5957,2704,1.31876373291016
54468,0.572647333145142,0.117103479802609,0.194092109799385,42217,4946,-4809,2681,1.3125216960907
54470,0.586804509162903,0.105203650891781,0.186515837907791,42217,4753,-3772,2590,1.30431926250458
54472,0.596410930156708,0.106864996254444,0.178000971674919,42217,4669,-5213,2491,1.29512691497803
54474,0.604025840759277,0.122147001326084,0.172871306538582,42217,4716,-6881,2430,1.28668248653412
54476,0.614364147186279,0.128528624773026,0.170994013547897,39537,7769,-6185,2445,1.27902686595917
54478,0.629645645618439,0.11835178732872,0.166281372308731,39537,6969,-4326,2389,1.27325296401978
54480,0.643750429153442,0.095357201993466,0.160308763384819,39537,6436,-2632,2322,1.26991069316864
54482,0.663829982280731,0.08443446457386,0.154955089092255,39537,5437,-3621,2257,1.267258644104
54484,0.691401839256287,0.088645964860916,0.150410115718842,39537,3742,-5264,2208,1.26178526878357
54486,0.717593252658844,0.087313033640385,0.14571076631546,38867,4130,-4683,2158,1.25298810005188
54488,0.742762625217438,0.081692837178707,0.137474834918976,38867,3306,-4184,2065,1.24475860595703
54490,0.767210721969605,0.068408936262131,0.130994185805321,38867,2889,-3152,1987,1.23499429225922
54492,0.783101737499237,0.03438051789999,0.127530127763748,38867,2981,-414,1950,1.22519218921661
54494,0.795825898647308,-0.00204580812715,0.123139277100563,38867,3044,554,1897,1.2166942358017
54496,0.814745604991913,-0.026421895250678,0.118504256010056,38867,1581,-146,1846,1.20773684978485
54498,0.837215542793274,-0.040810532867909,0.114941664040089,38867,777,-856,1803,1.20097839832306
54500,0.858703374862671,-0.053418945521116,0.112624228000641,37526,3798,-749,1814,1.19479477405548
54502,0.876609265804291,-0.069759130477905,0.10541420429945,37526,3798,-49,1727,1.18961656093597
54504,0.881552398204803,-0.092038363218308,0.097541585564613,37526,4498,1045,1635,1.18335068225861
54506,0.887215554714203,-0.10658735781908,0.093935072422028,37526,4312,563,1592,1.1760641336441
54508,0.903518497943878,-0.102266818284988,0.095347993075848,36185,4694,-1347,1631,1.170365691185
54510,0.92694479227066,-0.089890472590923,0.097926534712315,36185,3514,-2400,1662,1.16363751888275
54512,0.942998290061951,-0.093234539031983,0.101692125201225,36185,3402,-706,1709,1.15757358074188
54514,0.957721769809723,-0.110419251024723,0.108243890106678,36185,3240,1021,1788,1.15107822418213
54516,0.971993982791901,-0.120889641344547,0.113186426460743,36185,2457,628,1848,1.14426207542419
54518,0.98237532377243,-0.121439047157764,0.116281792521477,36185,6390,-351,1916,1.13547897338867
54520,0.993531465530396,-0.117421545088291,0.114295355975628,36185,5536,-823,1892,1.12681639194489
54522,1.01069283485413,-0.1124102845788,0.116132281720638,36185,4592,-1022,1915,1.11577832698822
54524,1.02523577213287,-0.110352903604507,0.12401008605957,36185,3993,-707,2010,1.10316050052643
54526,1.04224824905396,-0.100388549268246,0.1301009953022,36185,3406,-1697,2083,1.09371900558472
54528,1.0658016204834,-0.088364213705063,0.128926500678062,36185,1692,-2094,2071,1.08342564105988
54530,1.08888947963715,-0.084969207644463,0.126323953270912,36185,4963,-1298,2067,1.07491338253021
54532,1.11111176013947,-0.077191665768623,0.126511469483376,36185,3999,-1848,2071,1.06450426578522
54534,1.13635575771332,-0.062388088554144,0.12797723710537,36185,3192,-2847,2088,1.0513174533844
54536,1.15960335731506,-0.048915822058916,0.12829165160656,36185,2291,-2956,2095,1.03907155990601
54538,1.18116009235382,-0.047834258526564,0.129962652921677,36185,2029,-1739,2115,1.02807664871216
54540,1.2020902633667,-0.052152629941702,0.131449714303017,36185,8152,-1080,2186,1.01843154430389
54542,1.22201728820801,-0.040302339941263,0.13106706738472,36185,7854,-2934,2181,1.01200580596924
54544,1.23670268058777,-0.021936284378171,0.128186866641045,36185,7410,-3942,2151,1.01351714134216
54546,1.25360286235809,-0.012314427644014,0.125109076499939,36185,6850,-3260,2114,1.0162034034729
54548,1.26666688919067,-0.002832964295521,0.12270699441433,36185,6286,-3434,2091,1.01689302921295
54550,1.27528059482574,0.000920575519558,0.117469236254692,36185,12016,-2930,2065,1.01488828659058
54552,1.2912118434906,0.001419319072738,0.112946480512619,36185,10276,-2616,2017,1.00720953941345
54554,1.30792546272278,0.008648614399135,0.109716273844242,36185,9864,-3434,1978,0.996319532394409
54556,1.31965172290802,0.019152294844389,0.10999733954668,36185,9422,-3984,1990,0.988496363162994
54558,1.32739222049713,0.026998115703464,0.113452702760696,36185,9666,-3875,2031,0.984786510467529
54560,1.33909773826599,0.035262301564217,0.115983389317989,36185,8318,-4105,2071,0.986130774021149
54562,1.36537683010101,0.036099165678024,0.117066621780396,36185,14670,-3363,2139,0.994215309619904
54564,1.40799677371979,0.035180650651455,0.113813892006874,36185,11446,-3190,2110,0.998271107673645
54566,1.45490348339081,0.043077945709229,0.110611617565155,36185,10079,-4229,2072,0.998205542564392
54568,1.48851418495178,0.055450543761253,0.109588101506233,36185,9956,-4953,2071,0.989824414253235
54570,1.51233220100403,0.064691491425037,0.108890026807785,36185,10459,-4825,2063,0.980944514274597
54572,1.53680264949799,0.062385179102421,0.112962417304516,40876,17833,-3636,2183,0.977501690387726
54574,1.57283532619476,0.049420744180679,0.11740467697382,40876,15956,-2311,2237,0.977153182029724
54576,1.62351453304291,0.032235078513622,0.118344061076641,40876,12637,-1570,2261,0.981212615966797
54578,1.68596410751343,0.008240383118391,0.117547832429409,40876,10211,-409,2251,0.976768791675568
54580,1.74798595905304,0.003402021480724,0.120105966925621,40876,8107,-2235,2292,0.967030763626099
54582,1.81890404224396,0.011557621881366,0.122765138745308,40876,5799,-3698,2324,0.960741996765137
54584,1.89923679828644,-0.001345514552668,0.122497029602528,44227,6549,-1320,2358,0.955821812152863
54586,1.97355532646179,-0.019647553563118,0.121801242232323,44227,5664,-414,2350,0.956436574459076
54588,2.04000401496887,-0.043787397444248,0.118406131863594,44227,4081,675,2314,0.957103967666626
54590,2.10467338562012,-0.053504947572947,0.115110732614994,44227,2965,-572,2274,0.961299955844879
54592,2.18304824829102,-0.042887076735497,0.112836435437202,44227,-1091,-2795,2252,0.968154430389404
54594,2.26996254920959,-0.046902097761631,0.111267931759357,44227,-3683,-1251,2233,0.967833280563355
54596,2.35207152366638,-0.05010524392128,0.1115448102355,44227,-6054,-1244,2242,0.961581766605377
54598,2.42535948753357,-0.043111566454172,0.107068777084351,44227,-6638,-2403,2188,0.952329576015472
54600,2.49112510681152,-0.029246035963297,0.103566139936447,44227,-8486,-3357,2156,0.940252900123596
